"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"711",1,"< 5",26,"bio",270205,49999.5,1
"712",3,"< 5",51,"bio",270199,49999.5,0
"713",6,"5-10",56,"chem",250199,49999.5,1
"714",2,"> 10",52,"chem",250302,49999.5,0
"715",15,"< 5",72,"chem",250105,49999.5,1
"716",4,"> 10",48,"bio",270199,49999.5,1
"717",2,"> 10",47,"physics",240302,49999.5,1
"718",2,"< 5",41,"bio",270103,49999.5,1
"719",1,"< 5",37,"bio",270106,49999.5,1
"720",7,"> 10",48,"physics",240401,49999.5,1
