"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"481",2,"> 10",56,"soc",370299,24999.5,1
"482",1,"< 5",36,"bio",270303,24999.5,0
"483",2,"5-10",37,"physics",240501,24999.5,0
"484",1,"> 10",47,"bio",270499,24999.5,1
"485",1,"< 5",32,"beh_cog",380103,24999.5,1
"486",1,"< 5",36,"bio",270208,24999.5,1
"487",2,"< 5",32,"chem",250201,24999.5,0
"488",3,"< 5",72,"beh_cog",380107,24999.5,0
"489",2,"< 5",50,"bio",270504,24999.5,1
"490",1,"< 5",58,"physics",240101,24999.5,0
