"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"441",2,"> 10",52,"bio",270504,24999.5,1
"442",3,"< 5",37,"chem",250201,24999.5,1
"443",1,"> 10",47,"physics",240302,24999.5,1
"444",2,"> 10",37,"bio",270708,24999.5,1
"445",3,"> 10",43,"bio",270603,24999.5,0
"446",1,"> 10",46,"physics",240401,24999.5,1
"447",2,"5-10",41,"bio",270303,24999.5,0
"448",4,"> 10",38,"chem",250102,24999.5,0
"449",2,"< 5",43,"bio",270107,24999.5,0
"450",3,"< 5",57,"beh_cog",380106,24999.5,0
