"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"701",2,"> 10",42,"chem",250301,49999.5,1
"702",3,"< 5",62,"chem",250204,49999.5,1
"703",1,"< 5",32,"chem",250103,49999.5,1
"704",1,"< 5",41,"physics",240401,49999.5,1
"705",2,"< 5",41,"beh_cog",380105,49999.5,1
"706",15,"< 5",71,"chem",250105,49999.5,1
"707",2,"> 10",52,"beh_cog",380102,49999.5,1
"708",5,"< 5",58,"physics",240101,49999.5,0
"709",3,"> 10",47,"physics",240401,49999.5,1
"710",4,"< 5",47,"bio",270205,49999.5,1
