"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"781",1,"> 10",52,"physics",240302,249999.5,1
"782",1,"< 5",42,"bio",270107,249999.5,1
"783",1,"> 10",NA,"beh_cog",380102,249999.5,1
"784",2,"> 10",67,"bio",270299,249999.5,0
"785",1,"5-10",46,"bio",270106,249999.5,1
"786",2,"5-10",41,"soc",370199,249999.5,0
"787",2,"< 5",42,"bio",270103,249999.5,1
"788",3,"5-10",55,"beh_cog",380199,249999.5,1
"789",5,"5-10",47,"bio",270103,249999.5,1
"790",1,"5-10",43,"bio",270299,249999.5,0
