"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"491",1,"> 10",33,"bio",270103,24999.5,0
"492",1,"< 5",38,"bio",270106,24999.5,0
"493",2,"< 5",48,"bio",270303,24999.5,0
"494",1,"< 5",37,"beh_cog",380101,24999.5,1
"495",2,"> 10",56,"soc",370299,24999.5,1
"496",2,"< 5",68,"beh_cog",380201,24999.5,1
"497",1,"5-10",43,"bio",270299,24999.5,1
"498",6,"< 5",51,"beh_cog",380107,24999.5,0
"499",1,"5-10",48,"bio",270105,24999.5,0
"500",1,"< 5",38,"bio",270103,24999.5,0
