"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"811",3,"5-10",47,"bio",270106,249999.5,1
"812",1,"> 10",46,"physics",240201,249999.5,1
"813",1,"5-10",42,"bio",270299,249999.5,1
"814",2,"> 10",46,"physics",240204,249999.5,1
"815",2,"< 5",51,"bio",270207,249999.5,1
"816",1,"< 5",45,"bio",270303,249999.5,1
"817",1,"< 5",57,"bio",270401,249999.5,0
"818",1,"5-10",43,"bio",270199,249999.5,1
"819",6,"> 10",66,"physics",240302,499999.5,1
"820",6,"< 5",62,"bio",270208,499999.5,1
