"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"791",1,"> 10",NA,"bio",270103,249999.5,1
"792",2,"5-10",48,"bio",270203,249999.5,1
"793",1,"< 5",41,"bio",270602,249999.5,0
"794",1,"< 5",38,"bio",270103,249999.5,0
"795",1,"> 10",NA,"beh_cog",380102,249999.5,1
"796",6,"< 5",45,"bio",270299,249999.5,1
"797",2,"< 5",62,"bio",270107,249999.5,1
"798",1,"> 10",58,"bio",270201,249999.5,1
"799",1,"5-10",58,"bio",270199,249999.5,1
"800",2,"5-10",58,"bio",270199,249999.5,1
