"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"691",1,"> 10",NA,"bio",270106,49999.5,1
"692",1,"> 10",56,"physics",240101,49999.5,1
"693",1,"> 10",51,"bio",270199,49999.5,1
"694",2,"5-10",57,"bio",270202,49999.5,1
"695",4,"> 10",52,"bio",270210,49999.5,1
"696",1,"< 5",32,"bio",270205,49999.5,1
"697",1,"> 10",40,"bio",270104,49999.5,1
"698",1,"> 10",52,"bio",270203,49999.5,1
"699",1,"> 10",57,"physics",240101,49999.5,1
"700",3,"5-10",51,"bio",270103,49999.5,0
