"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"771",4,"> 10",56,"bio",270203,249999.5,0
"772",2,"< 5",43,"bio",270106,249999.5,1
"773",1,"5-10",47,"bio",270303,249999.5,1
"774",2,"< 5",52,"bio",270203,249999.5,0
"775",1,"5-10",47,"bio",270199,249999.5,1
"776",1,"5-10",38,"bio",270106,249999.5,1
"777",1,"> 10",56,"bio",270202,249999.5,1
"778",2,"5-10",48,"bio",270101,249999.5,1
"779",1,"< 5",56,"bio",270103,249999.5,0
"780",3,"> 10",62,"chem",250301,249999.5,1
