"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"761",1,"5-10",52,"bio",270103,249999.5,1
"762",1,"> 10",NA,"bio",270199,249999.5,1
"763",3,"5-10",57,"bio",270210,249999.5,1
"764",3,"< 5",36,"bio",270108,249999.5,0
"765",2,"5-10",52,"bio",270103,249999.5,1
"766",1,"< 5",31,"bio",270205,249999.5,1
"767",3,"5-10",48,"beh_cog",380103,249999.5,1
"768",1,"> 10",48,"bio",270205,249999.5,1
"769",2,"> 10",57,"chem",250302,249999.5,1
"770",2,"< 5",37,"physics",240402,249999.5,1
