"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"321",2,"> 10",43,"bio",270103,24999.5,0
"322",3,"> 10",57,"bio",270599,24999.5,1
"323",1,"< 5",46,"soc",370302,24999.5,1
"324",2,"< 5",46,"bio",270107,24999.5,0
"325",3,"< 5",50,"chem",250302,24999.5,0
"326",1,"< 5",31,"bio",270707,24999.5,1
"327",3,"> 10",48,"physics",240204,24999.5,1
"328",2,"> 10",43,"physics",240204,24999.5,1
"329",4,"> 10",58,"bio",270706,24999.5,1
"330",2,"< 5",48,"beh_cog",380201,24999.5,1
