"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"221",2,"< 5",37,"beh_cog",380205,24999.5,1
"222",1,"> 10",41,"physics",240499,24999.5,1
"223",2,"< 5",43,"bio",270602,24999.5,1
"224",3,"5-10",57,"beh_cog",380205,24999.5,1
"225",3,"> 10",50,"bio",270501,24999.5,0
"226",1,"< 5",31,"chem",250302,24999.5,1
"227",2,"5-10",41,"bio",270707,24999.5,1
"228",2,"> 10",46,"bio",270602,24999.5,1
"229",1,"> 10",56,"soc",370301,24999.5,1
"230",1,"> 10",56,"soc",370301,24999.5,1
