"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"521",2,"> 10",51,"bio",270599,24999.5,0
"522",3,"< 5",72,"beh_cog",380107,24999.5,0
"523",2,"< 5",66,"beh_cog",380201,24999.5,1
"524",2,"5-10",42,"bio",270602,24999.5,0
"525",1,"< 5",37,"bio",270104,24999.5,0
"526",3,"> 10",63,"beh_cog",380103,24999.5,1
"527",2,"< 5",48,"bio",270603,24999.5,0
"528",1,"< 5",25,"bio",270107,24999.5,0
"529",2,"> 10",47,"chem",250501,24999.5,1
"530",3,"5-10",42,"bio",270106,24999.5,0
