"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"281",2,"< 5",36,"physics",240199,24999.5,1
"282",1,"< 5",33,"beh_cog",380103,24999.5,0
"283",1,"< 5",40,"soc",370499,24999.5,1
"284",1,"< 5",37,"bio",270103,24999.5,0
"285",3,"5-10",33,"bio",270501,24999.5,1
"286",3,"> 10",51,"bio",270702,24999.5,1
"287",2,"5-10",42,"bio",270707,24999.5,0
"288",2,"< 5",48,"physics",240101,24999.5,0
"289",2,"5-10",33,"bio",270203,24999.5,1
"290",1,"< 5",66,"beh_cog",380199,24999.5,1
