"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"631",1,"> 10",46,"physics",240302,49999.5,1
"632",1,"> 10",NA,"bio",270199,49999.5,0
"633",4,"> 10",NA,"physics",240201,49999.5,1
"634",3,"> 10",45,"physics",240401,49999.5,0
"635",1,"> 10",41,"bio",270106,49999.5,1
"636",1,"< 5",35,"bio",270303,49999.5,1
"637",1,"> 10",32,"bio",270707,49999.5,1
"638",2,"> 10",52,"beh_cog",380101,49999.5,1
"639",1,"< 5",35,"bio",270203,49999.5,1
"640",1,"> 10",53,"bio",270299,49999.5,1
