"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"451",1,"> 10",53,"chem",250302,24999.5,1
"452",1,"< 5",38,"bio",270602,24999.5,1
"453",2,"< 5",73,"beh_cog",380105,24999.5,1
"454",4,"< 5",41,"bio",270104,24999.5,1
"455",3,"> 10",68,"beh_cog",380106,24999.5,1
"456",2,"> 10",56,"bio",270708,24999.5,1
"457",2,"< 5",38,"bio",270708,24999.5,0
"458",1,"< 5",38,"chem",250103,24999.5,0
"459",2,"< 5",32,"bio",270203,24999.5,0
"460",2,"< 5",63,"beh_cog",380103,24999.5,1
