"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"571",1,"< 5",31,"bio",270106,49999.5,1
"572",3,"5-10",52,"bio",270199,49999.5,0
"573",2,"< 5",61,"bio",270603,49999.5,1
"574",3,"< 5",48,"physics",240101,49999.5,0
"575",2,"> 10",43,"bio",270107,49999.5,1
"576",2,"5-10",51,"chem",250302,49999.5,1
"577",3,"> 10",58,"beh_cog",380107,49999.5,0
"578",2,"> 10",52,"bio",270504,49999.5,1
"579",3,"< 5",36,"beh_cog",380399,49999.5,1
"580",3,"< 5",43,"bio",270699,49999.5,1
