"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"671",1,"> 10",45,"physics",240401,49999.5,0
"672",1,"> 10",47,"physics",240203,49999.5,1
"673",3,"> 10",47,"physics",240401,49999.5,1
"674",1,"< 5",27,"bio",270106,49999.5,1
"675",2,"5-10",46,"bio",270103,49999.5,1
"676",3,"< 5",46,"bio",270303,49999.5,0
"677",3,"> 10",56,"bio",270199,49999.5,1
"678",1,"< 5",27,"bio",270299,49999.5,1
"679",1,"< 5",62,"soc",370302,49999.5,0
"680",2,"5-10",47,"bio",270304,49999.5,1
