"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"231",2,"5-10",43,"bio",270103,24999.5,0
"232",2,"5-10",45,"bio",270603,24999.5,1
"233",2,"5-10",41,"bio",270603,24999.5,0
"234",3,"> 10",32,"physics",240499,24999.5,1
"235",1,"> 10",56,"physics",240101,24999.5,1
"236",1,"< 5",31,"physics",240302,24999.5,1
"237",3,"< 5",53,"bio",270402,24999.5,1
"238",4,"> 10",58,"bio",270706,24999.5,1
"239",1,"< 5",38,"bio",270208,24999.5,1
"240",1,"< 5",32,"physics",240201,24999.5,1
