"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"121",3,"5-10",47,"bio",270306,24999.5,1
"122",1,"< 5",31,"bio",270707,24999.5,1
"123",1,"> 10",36,"physics",240101,24999.5,1
"124",5,"< 5",47,"physics",240202,24999.5,1
"125",2,"> 10",51,"bio",270403,24999.5,1
"126",3,"< 5",57,"bio",270504,24999.5,1
"127",3,"5-10",57,"beh_cog",380205,24999.5,1
"128",2,"> 10",55,"bio",270703,24999.5,1
"129",2,"< 5",50,"bio",270708,24999.5,1
"130",1,"> 10",30,"beh_cog",380103,24999.5,0
