"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"291",2,"5-10",53,"bio",270203,24999.5,0
"292",2,"> 10",53,"bio",270702,24999.5,1
"293",1,"< 5",41,"bio",270301,24999.5,0
"294",2,"5-10",41,"bio",270603,24999.5,0
"295",1,"< 5",42,"chem",250399,24999.5,1
"296",2,"5-10",46,"beh_cog",380103,24999.5,1
"297",2,"5-10",47,"physics",240201,24999.5,1
"298",4,"< 5",41,"bio",270104,24999.5,1
"299",2,"> 10",56,"bio",270702,24999.5,1
"300",2,"> 10",53,"bio",270702,24999.5,1
