"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"181",2,"5-10",41,"beh_cog",380107,24999.5,0
"182",4,"> 10",42,"physics",240301,24999.5,0
"183",2,"> 10",NA,"bio",270802,24999.5,0
"184",3,"5-10",46,"bio",270102,24999.5,0
"185",2,"> 10",47,"bio",270708,24999.5,1
"186",1,"> 10",56,"bio",270299,24999.5,1
"187",1,"< 5",41,"chem",250302,24999.5,1
"188",1,"> 10",48,"chem",250104,24999.5,1
"189",2,"> 10",61,"bio",270105,24999.5,1
"190",3,"< 5",37,"bio",270599,24999.5,1
