"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"821",6,"> 10",66,"physics",240302,499999.5,1
"822",3,"> 10",46,"bio",270303,499999.5,1
"823",10,"> 10",57,"physics",240101,499999.5,1
"824",2,"> 10",56,"bio",270802,499999.5,0
"825",1,"< 5",47,"bio",270304,499999.5,1
"826",2,"> 10",47,"physics",240302,499999.5,1
"827",3,"< 5",46,"bio",270107,499999.5,0
"828",13,"> 10",65,"bio",270299,499999.5,1
"829",3,"< 5",40,"chem",250103,499999.5,1
"830",10,"< 5",36,"bio",270108,499999.5,1
