"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"801",1,"< 5",58,"soc",370105,249999.5,0
"802",7,"> 10",52,"physics",240401,249999.5,1
"803",1,"< 5",41,"bio",270103,249999.5,1
"804",6,"< 5",52,"bio",270203,249999.5,1
"805",1,"< 5",47,"bio",270299,249999.5,1
"806",1,"< 5",42,"bio",270106,249999.5,1
"807",2,"5-10",51,"bio",270103,249999.5,1
"808",15,"> 10",52,"chem",250503,249999.5,1
"809",2,"> 10",56,"bio",270899,249999.5,0
"810",1,"5-10",52,"bio",270103,249999.5,0
