"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"751",1,"> 10",50,"bio",270199,49999.5,1
"752",1,"< 5",33,"bio",270106,49999.5,1
"753",3,"> 10",56,"physics",240101,49999.5,1
"754",3,"< 5",47,"physics",240101,49999.5,1
"755",1,"< 5",40,"bio",270103,49999.5,1
"756",1,"5-10",30,"bio",270205,49999.5,1
"757",2,"< 5",47,"bio",270303,49999.5,0
"758",1,"> 10",NA,"bio",270802,249999.5,0
"759",1,"< 5",42,"bio",270103,249999.5,1
"760",1,"5-10",37,"bio",270106,249999.5,1
