"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"551",2,"< 5",43,"bio",270106,24999.5,0
"552",2,"5-10",57,"soc",370106,24999.5,1
"553",5,"> 10",71,"beh_cog",380107,24999.5,1
"554",1,"> 10",33,"bio",270708,24999.5,0
"555",1,"5-10",41,"bio",270603,24999.5,1
"556",1,"5-10",42,"bio",270299,24999.5,0
"557",2,"> 10",48,"bio",270603,24999.5,0
"558",3,"5-10",38,"bio",270108,24999.5,1
"559",1,"5-10",48,"bio",270199,49999.5,1
"560",2,"> 10",51,"beh_cog",380106,49999.5,1
