"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"541",2,"> 10",57,"bio",270702,24999.5,1
"542",3,"< 5",72,"beh_cog",380107,24999.5,0
"543",1,"< 5",32,"bio",270106,24999.5,0
"544",3,"> 10",33,"bio",270707,24999.5,1
"545",1,"5-10",42,"bio",270106,24999.5,0
"546",2,"5-10",46,"bio",270603,24999.5,0
"547",1,"> 10",55,"physics",240100,24999.5,0
"548",1,"5-10",42,"bio",270299,24999.5,1
"549",2,"> 10",62,"bio",270199,24999.5,1
"550",1,"> 10",56,"bio",270106,24999.5,1
