"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"11",3,"< 5",72,"beh_cog",380199,24999.5,1
"12",4,"> 10",41,"physics",240401,24999.5,1
"13",1,"> 10",35,"physics",240101,24999.5,1
"14",2,"< 5",56,"beh_cog",380303,24999.5,0
"15",2,"< 5",56,"beh_cog",380201,24999.5,1
"16",2,"< 5",52,"bio",270199,24999.5,1
"17",3,"< 5",51,"bio",270403,24999.5,1
"18",1,"< 5",32,"bio",270602,24999.5,0
"19",1,"> 10",61,"beh_cog",380106,24999.5,0
"20",1,"< 5",31,"bio",270199,24999.5,1
