"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"351",1,"< 5",42,"bio",270301,24999.5,0
"352",3,"< 5",57,"bio",270599,24999.5,1
"353",2,"5-10",46,"bio",270303,24999.5,1
"354",1,"> 10",33,"beh_cog",380107,24999.5,1
"355",1,"> 10",46,"physics",240401,24999.5,1
"356",1,"> 10",63,"beh_cog",380106,24999.5,1
"357",1,"5-10",37,"physics",240201,24999.5,1
"358",2,"< 5",47,"chem",250199,24999.5,1
"359",3,"< 5",57,"bio",270499,24999.5,0
"360",3,"> 10",38,"chem",250105,24999.5,0
